@RELATION RealFinal

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE class {B,W}

@DATA
12,0,1,0,0,0.0,0,0,8,0,8,3620.0,1,1,1,2,1,-1,20040316,2,W
22,0,1,0,0,0.0,0,0,18,0,18,3620.0,1,1,1,2,1,19527.5,20060402,2,W
8,0,1,0,4,0.0,1,0,4,4,3,98.0,2,1,1,2,1,56870.0,20031121,2,B
14,0,1,0,0,0.0,0,0,10,0,10,320.0,4,4,1,4,1,76424.0,20040908,2,W
13,0,1,0,4,0.0,1,0,9,4,5,-1,0,0,0,0,0,-1,-1,0,B
9,0,1,0,5,0.0,1,0,5,5,3,-1,0,0,0,2,7,96075.5,20101024,0,B
18,0,2,0,3,0.0,5,0,7,1,7,-1,0,0,0,0,0,-1,-1,0,B
7,0,1,0,0,0.0,0,0,3,0,3,320.0,1,1,1,4,1,78204.75,19970821,12,W
20,0,2,0,5,0.0,1,0,8,5,7,-1,0,0,0,0,0,-1,-1,0,B
15,0,2,0,6,0.0,3,0,6,4,4,-1,0,0,0,0,0,-1,-1,0,B
13,0,2,0,8,0.0,3,0,5,4,2,-1,0,0,0,0,0,-1,-1,0,B
18,0,3,0,8,0.0,3,0,6,6,3,610.0,1,1,1,0,0,-1,-1,8,B
12,0,1,0,0,0.0,0,0,9,0,9,10820.0,1,1,1,7,2,10295.714285714286,-1,7,W
14,0,1,0,0,0.0,0,0,10,0,10,70.0,1,1,1,4,1,105361.75,19970320,2,W
9,0,1,0,0,0.0,0,0,5,0,5,14420.0,1,1,1,4,2,8433.5,19950411,2,W
10,0,1,0,0,0.0,0,0,7,0,7,15415.0,2,1,1,4,1,9398.25,20061011,2,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,320.0,1,1,1,5,1,60564.2,20030917,2,W
11,0,1,0,0,0.0,0,0,7,0,7,86410.0,1,1,1,2,4,21939.5,19961122,28,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
20,0,2,0,12,0.0,1,0,10,10,3,-1,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,616.0,1,1,1,3,2,2105.6666666666665,20030719,2,W
18,0,2,0,0,0.0,0,0,12,0,12,86420.0,1,1,1,2,4,19391.5,-1,5,W
12,0,1,0,4,0.0,1,0,8,4,4,28820.0,1,1,1,6,2,252.66666666666666,-1,2,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,7,0,7,320.0,2,1,1,2,1,21438.5,20140912,2,W
9,0,1,0,0,0.0,0,0,6,0,6,320.0,4,1,1,6,3,7202.0,-1,6,W
9,0,1,0,0,0.0,0,0,6,0,6,3620.0,1,1,1,4,1,126983.25,-1,29,W
10,0,1,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,5,5,12877.0,-1,9,W
9,0,1,0,0,0.0,0,0,6,0,6,320.0,1,1,1,2,1,85827.0,-1,17,W
18,0,1,0,0,0.0,0,0,14,0,14,3620.0,1,1,1,2,1,543.5,19970117,2,W
9,0,1,0,0,0.0,0,0,6,0,6,320.0,2,1,2,2,7,43891.5,-1,8,W
10,0,1,0,0,0.0,0,0,6,0,6,920.0,1,1,1,8,4,11589.875,19941005,2,W
10,0,1,0,0,0.0,0,0,6,0,6,5526.0,1,1,1,4,1,53437.75,19940201,2,W
9,0,1,0,0,0.0,0,0,5,0,5,620.0,1,1,1,2,9,10586.5,20050116,8,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
20,0,2,0,5,0.0,1,0,8,5,7,-1,0,0,0,0,0,-1,-1,0,B
10,0,1,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,4,1,34722.25,-1,4,W
16,0,1,0,0,0.0,0,0,12,0,12,320.0,1,1,1,4,2,16553.75,20101030,2,W
20,0,1,0,0,0.0,0,0,16,0,16,3620.0,2,2,1,3,3,3617.3333333333335,-1,3,W
13,0,1,0,2,0.0,4,0,9,1,5,320.0,3,3,1,3,1,317.3333333333333,20090320,20,W
16,0,1,0,0,0.0,0,0,12,0,12,620.0,1,1,1,2,1,115221.5,20140822,2,W
14,0,1,0,0,0.0,0,0,10,0,10,620.0,1,1,1,3,1,614.0,19960207,26,W
11,0,1,0,0,0.0,0,0,7,0,7,316.0,1,1,1,2,2,15803.0,19960723,5,W
12,0,1,0,0,0.0,0,0,8,0,8,14415.0,1,1,1,2,1,14414.5,-1,2,W
17,0,1,0,0,0.0,0,0,13,0,13,3615.0,1,1,1,2,2,2454.0,20130710,4,W
15,0,1,0,0,0.0,0,0,11,0,11,42608.0,1,1,1,2,1,2475.0,19990129,2,W
11,0,1,0,0,0.0,0,0,8,0,8,740.0,1,1,1,3,3,33613.333333333336,-1,12,W
12,0,1,0,0,0.0,0,0,8,0,8,320.0,5,1,1,2,1,72253.5,-1,2,W
16,0,1,0,0,0.0,0,0,12,0,12,3620.0,2,2,2,2,1,2310.5,19951007,2,W
17,0,2,0,2,0.0,3,0,7,1,7,-1,0,0,0,0,0,-1,-1,0,B
14,0,2,0,2,0.0,1,0,5,2,5,-1,0,0,0,0,0,-1,-1,0,B
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,17156.0,1,1,1,4,2,3614.25,20060607,5,W
12,1,3,0,9,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,320.0,3,3,1,3,3,303.3333333333333,19950524,2,W
12,0,2,0,0,0.0,0,0,5,0,5,3620.0,2,2,2,2,1,1794.5,-1,30,W
15,0,2,0,2,0.0,3,0,5,1,5,-1,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
22,0,2,0,10,0.0,1,0,10,10,7,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,11,0,11,112.0,2,2,1,2,1,8998.0,-1,2,W
12,1,3,0,9,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,0,2,0,9,0.0,1,0,5,5,2,-1,0,0,0,0,0,-1,-1,0,B
17,0,1,0,0,0.0,0,0,13,0,13,920.0,1,1,1,8,2,45462.25,19990803,28,W
9,0,1,0,0,0.0,0,0,6,0,6,3620.0,1,1,1,14,12,89584.5,-1,31,W
12,0,1,0,0,0.0,0,0,8,0,8,920.0,1,1,1,2,2,1807.0,-1,2,W
18,0,1,0,0,0.0,0,0,14,0,14,320.0,1,1,1,10,1,1665.0,19951113,2,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
10,0,1,0,0,0.0,0,0,5,0,5,620.0,1,1,1,2,1,39564.0,-1,2,W
9,0,1,0,0,0.0,0,0,5,0,5,620.0,1,1,2,2,1,707.5,20020126,8,W
11,0,1,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,4,1,1430.75,20021024,7,W
8,0,1,0,0,0.0,0,0,5,0,5,50.0,1,1,1,2,1,315.5,-1,11,W
14,0,1,0,0,0.0,0,0,10,0,10,70.0,1,1,1,4,1,82811.5,20110630,2,W
13,0,1,0,0,0.0,0,0,9,0,9,28.0,5,5,1,2,1,342.0,19951101,2,W
11,0,1,0,0,0.0,0,0,8,0,8,3620.0,1,1,1,2,1,3617.0,-1,12,W
8,0,1,0,0,0.0,0,0,4,0,4,920.0,1,1,1,2,1,121774.0,19990916,2,W
12,0,1,0,4,0.0,1,0,8,4,4,3620.0,1,1,1,2,2,95.0,20130502,28,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
16,0,1,0,0,0.0,0,0,12,0,12,620.0,1,1,1,2,1,70166.5,20141109,2,W
9,0,1,0,0,0.0,0,0,5,0,5,920.0,1,1,1,3,1,909.0,20041217,9,W
8,0,1,0,0,0.0,0,0,5,0,5,86420.0,1,1,1,4,2,10806.5,-1,4,W
19,0,1,0,0,0.0,0,0,15,0,15,3620.0,1,1,1,2,1,19430.5,20130928,2,W
20,0,1,0,0,0.0,0,0,16,0,16,320.0,2,2,1,2,1,37571.0,20080521,2,W
18,0,2,0,4,0.0,3,0,8,3,8,-1,0,0,0,0,0,-1,-1,0,B
14,0,2,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,3,2,3616.6666666666665,-1,16,W
8,0,1,0,0,0.0,0,0,5,0,5,3619.0,1,1,1,3,1,3609.0,-1,32,W
20,0,3,0,8,0.0,1,0,7,5,7,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,86420.0,1,1,1,3,2,16044.666666666666,-1,33,W
12,0,1,0,1,0.0,2,0,8,1,7,80.0,1,1,1,4,1,94966.75,19991223,11,W
8,0,1,0,0,0.0,0,0,5,0,5,80.0,2,2,1,4,1,27616.0,-1,2,W
15,0,2,0,6,0.0,5,0,6,2,4,-1,0,0,0,0,0,-1,-1,0,B
17,0,1,0,0,0.0,0,0,14,0,14,86420.0,1,1,1,2,2,86403.0,-1,3,W
22,0,3,0,5,0.0,1,0,8,5,8,-1,0,0,0,0,0,-1,-1,0,B
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,7,0,7,140.0,2,2,1,12,1,2187.5833333333335,19950223,2,W
13,0,1,0,0,0.0,0,0,9,0,9,1820.0,1,1,1,2,1,1813.0,20000116,1,W
15,0,1,0,2,0.0,2,0,11,2,9,320.0,1,1,1,2,1,16413.0,20110523,11,W
15,0,1,0,4,0.0,1,0,11,4,7,-1,0,0,0,0,0,-1,-1,0,B
6,0,1,0,0,0.0,0,0,3,0,3,14420.0,1,1,1,2,1,14405.5,-1,4,W
14,0,1,0,0,0.0,0,0,10,0,10,620.0,1,1,1,3,2,1286.3333333333333,20021214,2,W
15,0,2,0,5,0.0,3,0,6,4,4,-1,0,0,0,0,0,-1,-1,0,B
15,0,2,0,5,0.0,3,0,6,4,5,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,14420.0,4,4,1,6,2,26915.0,19950905,2,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
8,0,1,0,0,0.0,0,0,4,0,4,80.0,2,2,1,4,1,68288.25,20100901,2,W
18,0,2,0,7,0.0,3,0,9,5,7,-1,0,0,0,0,0,-1,-1,0,B
16,0,1,0,0,0.0,0,0,12,0,12,86420.0,1,1,1,2,1,12741.0,19990423,3,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
22,0,2,0,10,0.0,1,0,10,10,7,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,80.0,2,2,1,4,1,112849.0,19950725,2,W
15,0,1,0,0,0.0,0,0,11,0,11,320.0,5,1,1,2,1,51151.0,20130403,2,W
9,0,1,0,3,0.0,1,0,6,3,3,3620.0,1,1,1,3,1,-1,20111029,2,B
18,0,1,0,0,0.0,0,0,14,0,14,3620.0,1,1,1,3,2,7215.666666666667,-1,2,W
26,0,3,0,9,0.0,1,0,9,9,8,-1,0,0,0,0,0,-1,-1,0,B
23,0,2,0,5,0.0,1,0,14,5,14,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,3,0.0,1,0,8,3,5,620.0,1,1,1,2,7,90186.0,20120807,28,B
30,0,3,0,6,0.0,3,0,16,3,14,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,10,0,10,315.0,5,5,1,2,1,44136.0,20130719,2,W
8,0,1,0,0,0.0,0,0,4,0,4,920.0,1,1,2,3,1,151.0,19990704,8,W
15,0,1,0,2,0.0,2,0,11,2,9,-1,0,0,0,2,3,208.5,20150106,0,W
20,1,3,1,16,0.0,0,0,8,4,0,-1,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,3620.0,1,1,1,2,1,19712.5,19970805,2,W
12,0,1,0,0,0.0,0,0,9,0,9,1820.0,1,1,1,2,11,7703.5,-1,20,W
11,0,1,0,4,0.0,1,0,7,4,3,-1,0,0,0,2,4,499.5,20140728,0,B
11,0,1,0,0,0.0,0,0,7,0,7,60901.0,1,1,1,8,2,11465.25,19950305,2,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,10,0,10,10820.0,5,4,4,4,3,2124.75,20050223,20,W
9,0,1,0,0,0.0,0,0,6,0,6,86420.0,1,1,1,4,4,77388.25,-1,4,W
11,0,2,0,0,0.0,0,0,5,0,5,344581.0,2,2,2,4,2,338827.75,-1,2,W
10,0,1,0,0,0.0,0,0,6,0,6,612.0,1,1,1,5,3,286.2,19941101,2,W
7,0,1,0,0,0.0,0,0,4,0,4,70.0,1,1,1,4,1,20111.25,-1,2,W
15,0,1,0,0,0.0,0,0,11,0,11,28820.0,1,1,1,8,2,40083.75,20120126,20,W
12,1,3,0,9,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,920.0,1,1,1,6,4,296.1666666666667,19941012,2,W
15,0,1,0,0,0.0,0,0,11,0,11,86420.0,1,1,1,4,1,72675.0,20060729,2,W
11,0,1,0,0,0.0,0,0,7,0,7,25.0,1,1,1,3,2,8656.666666666666,20051130,33,W
15,0,1,0,0,0.0,0,0,12,0,12,920.0,1,1,1,9,8,81480.77777777778,20140815,34,W
11,0,1,0,0,0.0,0,0,7,0,7,320.0,2,2,1,2,1,18978.5,20080620,2,W
14,0,1,0,0,0.0,0,0,10,0,10,620.0,1,1,1,2,1,116166.5,20091018,2,W
13,0,2,0,0,0.0,0,0,7,0,7,320.0,1,1,1,4,2,306.5,-1,11,W
7,0,1,0,0,0.0,0,0,4,0,4,80.0,1,1,1,2,1,568.5,-1,6,W
12,1,3,0,9,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,11,0,11,315.0,1,1,1,2,1,22685.0,-1,2,W
13,0,1,0,0,0.0,0,0,9,0,9,320.0,2,1,1,4,1,6732.0,20000303,2,W
10,0,1,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,5,5,12938.0,-1,6,W
16,0,1,1,0,0.0,0,0,12,0,8,320.0,1,1,1,4,2,446.5,19951128,2,W
14,0,2,0,0,0.0,0,0,7,0,7,320.0,1,1,1,8,2,22962.125,-1,16,W
10,0,1,0,6,0.0,1,0,6,6,3,620.0,1,1,1,0,0,-1,20130713,2,B
7,0,1,0,0,0.0,0,0,3,0,3,320.0,1,1,1,6,1,80916.66666666667,19860319,2,W
8,0,1,0,0,0.0,0,0,5,0,5,3620.0,2,1,1,3,2,2789.3333333333335,-1,18,W
15,0,1,0,0,0.0,0,0,12,0,12,920.0,1,1,1,12,10,99844.58333333333,-1,34,W
9,0,1,0,0,0.0,0,0,5,0,5,70.0,2,1,1,4,2,76.0,20010612,2,W
45,0,2,2,25,0.0,1,0,27,10,13,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,10,0,10,316.0,1,1,1,3,3,308.3333333333333,-1,2,W
7,0,1,0,0,0.0,0,0,3,0,3,320.0,2,2,1,7,3,29879.14285714286,19920407,2,W
12,0,1,0,2,0.0,1,0,8,2,6,620.0,1,1,1,2,1,65.5,20130428,4,B
15,1,3,1,11,0.0,0,0,6,3,0,-1,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,280.0,5,5,1,2,1,46215.0,20121204,2,W
9,0,1,0,0,0.0,0,0,6,0,6,120.0,1,1,1,4,4,7789.75,-1,4,W
23,0,2,0,8,0.0,5,0,10,6,8,-1,0,0,0,0,0,-1,-1,0,B
11,0,1,0,3,0.0,1,0,7,3,4,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,3690.0,1,1,1,2,9,63248.0,20080305,8,W
19,0,1,0,0,0.0,0,0,15,0,15,320.0,2,2,2,8,3,3616.0,19950123,2,W
16,0,1,0,0,0.0,0,0,12,0,12,320.0,1,1,1,6,2,13119.0,20101101,5,W
15,0,2,0,3,0.0,1,0,8,3,8,-1,0,0,0,0,0,-1,-1,0,B
18,0,2,0,0,0.0,0,0,11,0,11,80.0,2,2,1,4,1,64563.25,-1,2,W
11,0,1,0,7,0.0,1,0,7,7,3,620.0,1,1,1,2,7,93727.5,20110629,2,B
13,0,2,0,0,0.0,0,0,6,0,6,620.0,1,1,1,4,1,77114.25,-1,33,W
13,0,1,0,0,0.0,0,0,10,0,10,620.0,9,1,1,3,1,7216.0,-1,18,W
9,0,1,0,0,0.0,0,0,5,0,5,620.0,1,1,1,2,1,1916.5,20090714,8,W
13,0,1,0,0,0.0,0,0,9,0,9,3620.0,1,1,1,1,1,3608.0,20110511,4,W
15,0,1,0,0,0.0,0,0,11,0,11,3620.0,1,1,1,2,1,35022.0,20120521,2,W
7,0,1,0,0,0.0,0,0,4,0,4,320.0,1,1,1,4,2,368184.0,-1,5,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,7,0,7,620.0,1,1,1,2,7,33407.0,19991207,8,W
16,0,1,0,0,0.0,0,0,12,0,12,3620.0,1,1,1,3,1,12376.333333333334,19980615,2,W
11,0,1,0,0,0.0,0,0,7,0,7,40.0,2,1,1,8,1,41365.5,20050330,2,W
14,0,1,0,0,0.0,0,0,11,0,11,14420.0,1,1,1,2,11,4580.5,-1,5,W
8,0,1,0,3,0.0,1,0,4,3,3,-1,0,0,0,0,0,-1,-1,0,B
18,0,1,0,0,0.0,0,0,14,0,14,320.0,1,1,1,4,1,3052.75,20110515,2,W
12,0,1,0,0,0.0,0,0,8,0,8,620.0,1,1,1,5,2,4607.4,20080516,20,W
13,0,1,0,3,0.0,2,0,9,3,6,14420.0,1,1,1,5,1,286.4,20070817,2,W
19,0,1,0,0,0.0,0,0,15,0,15,320.0,1,1,1,6,1,2280.0,-1,2,W
13,0,1,0,0,0.0,0,0,9,0,9,1820.0,1,1,1,2,1,73311.0,20020528,2,W
19,0,1,0,0,0.0,0,0,15,0,15,1925.0,1,1,1,2,1,72636.5,20080408,35,W
10,0,2,0,0,0.0,0,0,3,0,3,620.0,1,1,1,2,2,313.0,-1,8,W
10,0,1,0,0,0.0,0,0,6,0,6,620.0,1,1,1,4,1,78211.5,20021026,2,W
11,0,1,0,0,0.0,0,0,7,0,7,3620.0,2,2,1,4,1,27637.75,19950809,2,W
13,0,1,0,0,0.0,0,0,9,0,9,320.0,2,2,1,2,1,18803.5,20110905,2,W
16,0,1,0,0,0.0,0,0,12,0,12,1820.0,1,1,1,5,2,162.4,20130610,7,W
16,0,1,0,0,0.0,0,0,12,0,12,3620.0,1,1,1,4,1,75756.75,20011029,2,W
16,0,1,0,0,0.0,0,0,12,0,12,320.0,1,1,1,4,1,64859.75,20110411,2,W
15,0,2,0,6,0.0,3,0,6,4,4,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,80.0,1,1,1,2,1,1212.0,19980121,2,W
15,0,2,0,6,0.0,3,0,6,4,3,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,11,0,11,920.0,1,1,1,3,3,896.3333333333334,-1,4,W
20,1,3,1,16,0.0,0,0,8,4,0,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,10,0.0,1,0,10,10,3,14418.0,1,1,1,2,1,14408.0,20140602,11,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,1,1,14418.0,-1,0,B
18,0,1,0,0,0.0,0,0,14,0,14,320.0,2,1,1,2,1,57208.5,20110109,2,W
23,0,1,1,0,0.0,0,0,19,0,11,320.0,2,1,1,2,1,26288.5,20121203,2,W
18,0,3,0,6,0.0,3,0,5,3,5,-1,0,0,0,0,0,-1,-1,0,B
15,0,2,0,3,0.0,3,0,6,2,6,-1,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,7,0,7,320.0,1,1,1,6,1,32446.0,20060717,2,W
10,0,1,0,0,0.0,0,0,6,0,6,320.0,3,3,2,4,1,53389.5,19980316,3,W
14,0,2,0,4,0.0,3,0,6,3,4,-1,0,0,0,0,0,-1,-1,0,B
24,0,3,0,14,0.0,5,0,10,10,3,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,3620.0,1,1,1,2,1,1468.0,20050622,8,W
9,0,1,0,0,0.0,0,0,6,0,6,920.0,1,1,1,3,2,905.0,-1,11,W
14,0,1,0,1,0.0,2,0,9,1,5,86420.0,1,1,1,2,1,86417.5,20110127,2,W
15,0,2,0,5,0.0,3,0,6,4,3,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,10,0,10,80.0,3,3,1,4,1,48131.0,20050430,2,W
11,0,1,0,0,0.0,0,0,8,0,8,43220.0,1,1,1,3,3,53081.666666666664,-1,20,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,1,1,14418.0,-1,0,B
12,0,1,0,0,0.0,0,0,9,0,9,80.0,2,2,1,4,1,120395.0,-1,2,W
12,0,1,0,0,0.0,0,0,8,0,8,86420.0,1,1,1,2,1,47172.0,-1,36,W
11,0,1,0,0,0.0,0,0,6,0,6,310.0,2,1,1,2,1,11015.0,20131217,2,W
11,0,1,0,4,0.0,1,0,7,4,3,620.0,1,1,1,2,7,126035.0,20130928,2,B
13,0,1,0,0,0.0,0,0,9,0,9,620.0,1,1,1,2,1,124340.0,20140610,2,W
18,0,2,0,0,0.0,0,0,12,0,12,320.0,2,1,1,2,1,1969.5,-1,2,W
19,1,3,1,15,0.0,0,0,7,4,0,-1,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,86420.0,1,1,1,4,1,88712.0,20101004,11,W
13,0,2,0,0,0.0,0,0,6,0,6,310.0,1,1,1,3,2,22786.333333333332,-1,2,W
9,0,1,0,3,0.0,1,0,5,3,3,-1,0,0,0,0,0,-1,-1,0,B
19,0,1,0,0,0.0,0,0,15,0,15,320.0,1,1,1,2,1,41899.0,20130305,2,W
14,0,1,0,0,0.0,0,0,10,0,10,3620.0,1,1,1,2,2,80190.0,20131111,5,W
11,0,2,0,0,0.0,0,0,4,0,4,320.0,1,1,2,2,9,68308.0,-1,8,W
7,0,1,0,0,0.0,0,0,4,0,4,620.0,1,1,1,3,3,440.3333333333333,-1,8,W
13,0,1,0,0,0.0,0,0,9,0,9,14420.0,1,1,1,2,1,14415.0,20001017,2,W
6,0,1,0,0,0.0,0,0,3,0,3,14410.0,0,1,1,2,1,14386.0,-1,37,W
7,0,1,0,0,0.0,0,0,4,0,4,320.0,5,1,1,2,1,74336.5,-1,2,W
10,0,1,0,0,0.0,0,0,6,0,6,3620.0,2,1,1,3,1,3618.0,20021031,29,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,118.0,1,1,1,6,1,19147.166666666668,20051101,2,W
15,0,1,0,0,0.0,0,0,11,0,11,86420.0,4,4,1,2,4,11254.5,20070206,2,W
21,0,2,0,10,0.0,1,0,10,10,6,-1,0,0,0,0,0,-1,-1,0,B
15,0,2,0,6,0.0,3,0,6,4,3,-1,0,0,0,0,0,-1,-1,0,B
5,0,1,0,0,0.0,0,0,2,0,2,86420.0,1,1,1,2,1,74542.0,-1,38,W
13,0,1,0,0,0.0,0,0,9,0,9,320.0,5,1,1,2,1,53397.5,20140909,2,W
11,0,1,0,0,0.0,0,0,8,0,8,310.0,4,1,1,2,1,57116.5,-1,39,W
13,0,2,1,0,0.0,0,0,7,0,5,-1,0,0,0,3,2,3611.0,-1,0,W
9,0,1,0,0,0.0,0,0,5,0,5,3620.0,2,1,1,12,4,17281.25,19980715,34,W
14,0,2,0,5,0.0,3,0,7,3,3,-1,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,320.0,2,2,1,2,1,13011.5,20090109,2,W
7,0,1,0,4,0.0,1,0,4,4,2,86420.0,1,1,1,0,0,-1,20141003,2,B
11,0,1,0,3,0.0,1,0,7,3,4,-1,0,0,0,0,0,-1,-1,0,B
15,0,1,0,1,0.0,2,0,12,1,6,320.0,2,1,1,2,1,43164.5,-1,2,W
14,0,1,0,1,0.0,2,0,10,1,9,320.0,5,1,1,2,1,36051.5,20130124,2,W
14,0,1,1,0,0.0,0,0,10,0,6,3620.0,3,1,1,3,1,3617.6666666666665,20040511,40,W
8,0,1,0,0,0.0,0,0,5,0,5,920.0,1,1,1,4,2,24341.75,-1,4,W
11,0,1,1,0,0.0,0,0,7,0,3,3620.0,1,1,1,2,2,507.5,20001002,11,W
6,0,1,0,0,0.0,0,0,3,0,3,620.0,1,1,1,2,2,564.0,-1,11,W
12,0,1,0,0,0.0,0,0,8,0,8,620.0,1,1,1,4,1,4988.0,20111021,11,W
14,0,1,0,0,0.0,0,0,10,0,10,309.0,1,1,1,0,1,-1,20081117,2,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
11,0,1,0,7,0.0,1,0,7,7,3,-1,0,0,0,0,0,-1,-1,0,B
20,1,3,1,16,0.0,0,0,8,4,0,-1,0,0,0,0,0,-1,-1,0,B
21,0,2,0,10,0.0,1,0,10,10,6,620.0,1,1,1,0,0,-1,-1,0,B
23,0,2,0,1,0.0,2,0,11,1,11,1850.0,1,1,1,1,1,48.0,-1,2,W
14,0,1,0,0,0.0,0,0,10,0,10,320.0,2,2,1,2,1,33644.0,20130302,2,W
18,1,3,1,14,0.0,0,0,7,4,0,-1,0,0,0,0,0,-1,-1,0,B
6,0,1,0,0,0.0,0,0,3,0,3,80.0,1,1,1,3,2,9725.333333333334,-1,4,W
20,1,3,1,16,0.0,0,0,8,4,0,-1,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,10,0,10,140.0,1,1,1,2,1,69302.0,-1,6,W
14,0,1,0,0,0.0,0,0,10,0,10,320.0,1,1,1,4,1,61838.5,20130917,2,W
24,0,3,0,2,0.0,1,0,12,2,12,-1,0,0,0,0,0,-1,-1,0,B
22,0,3,0,8,0.0,1,0,8,5,8,-1,0,0,0,0,0,-1,-1,0,B
15,0,1,0,3,0.0,1,0,11,3,8,1820.0,1,1,1,5,7,1819.2,20130903,2,B
12,0,1,0,0,0.0,0,0,9,0,9,10820.0,1,1,1,3,1,54867.0,-1,20,W
