@RELATION RealFinal

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE class {B,W}

@DATA
7,0,1,0,0,0.0,0,0,3,0,3,36020.0,2,2,1,4,1,36008.25,-1,2,W
7,0,1,0,0,0.0,0,0,3,0,3,3620.0,1,1,1,2,1,3508.0,19940605,4,W
19,0,1,0,0,0.0,0,0,15,0,15,316.0,2,1,1,2,1,16555.5,20070822,2,W
8,0,1,0,0,0.0,0,0,4,0,4,320.0,1,1,1,2,1,131413.0,-1,2,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
17,0,1,0,0,0.0,0,0,13,0,13,1820.0,4,2,1,5,1,45773.6,19990225,2,W
10,0,1,0,0,0.0,0,0,6,0,6,1437.0,1,1,1,2,1,96845.5,20050708,13,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
18,1,3,1,14,0.0,0,0,7,4,0,-1,0,0,0,0,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,545.0,2,1,1,2,1,554.8333333333334,20071214,8,W
14,0,2,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,2,2,212.0,-1,8,W
13,0,1,0,0,0.0,0,0,9,0,9,80.0,2,2,1,4,1,72778.0,20090917,2,W
12,0,1,0,0,0.0,0,0,8,0,8,80.0,1,1,1,4,1,110922.0,20040719,2,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,1,1,10913.0,-1,0,B
16,0,2,0,4,0.0,1,0,7,4,7,-1,0,0,0,0,0,-1,-1,0,B
22,0,2,0,10,0.0,1,0,10,10,7,-1,0,0,0,0,0,-1,-1,0,B
27,0,3,0,10,0.0,1,0,10,10,8,-1,0,0,0,0,0,-1,-1,0,B
8,0,1,0,0,0.0,0,0,5,0,5,80.0,1,1,1,4,1,77362.75,-1,2,W
11,0,1,0,0,0.0,0,0,8,0,8,40.0,1,1,1,6,2,73507.66666666667,-1,2,W
9,0,2,0,0,0.0,0,0,3,0,3,320.0,1,1,1,2,1,2314.5,-1,8,W
7,0,1,0,0,0.0,0,0,3,0,3,3620.0,1,1,1,2,2,3617.0,19950201,2,W
13,0,1,0,0,0.0,0,0,9,0,9,315.0,2,1,1,2,1,44419.0,-1,2,W
15,0,1,0,0,0.0,0,0,11,0,11,320.0,2,1,1,4,1,68714.5,20051031,2,W
13,0,2,0,0,0.0,0,0,6,0,6,86420.0,1,1,1,4,1,82168.75,-1,16,W
8,0,1,0,0,0.0,0,0,4,0,4,14420.0,1,1,1,4,2,3027.25,-1,2,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
12,0,1,0,0,0.0,0,0,8,0,8,539.0,1,1,1,3,1,583.3333333333334,-1,2,W
13,0,1,0,1,0.0,2,0,9,1,4,320.0,5,5,1,2,1,57637.0,20120523,2,W
11,0,1,0,0,0.0,0,0,7,0,7,8650.0,2,1,1,5,3,74877.8,20080507,17,W
15,0,3,0,3,0.0,1,0,4,3,4,3620.0,1,1,1,0,0,-1,-1,2,B
5,0,1,0,0,0.0,0,0,2,0,2,3620.0,2,1,1,12,4,13268.75,-1,4,W
13,0,2,0,4,0.0,1,0,5,4,4,-1,0,0,0,0,0,-1,-1,0,B
17,0,3,0,7,0.0,5,0,5,4,3,-1,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,320.0,2,1,1,2,1,863.5,-1,2,W
12,0,1,0,0,0.0,0,0,8,0,8,80.0,1,1,1,4,1,36761.75,20020514,2,W
14,0,1,0,0,0.0,0,0,10,0,10,320.0,2,1,1,2,1,13250.0,20151616,2,W
9,0,1,1,0,0.0,0,0,5,0,3,80.0,1,1,1,4,1,76528.5,20040209,2,W
16,0,2,0,2,0.0,1,0,6,2,6,620.0,1,1,1,0,0,-1,-1,2,B
15,0,2,0,3,0.0,1,0,7,3,7,-1,0,0,0,0,0,-1,-1,0,B
22,0,2,0,3,0.0,1,0,14,3,14,-1,0,0,0,0,0,-1,-1,0,B
17,0,1,0,0,0.0,0,0,13,0,13,310.0,1,1,1,2,1,53805.5,20100324,2,W
12,0,1,0,0,0.0,0,0,8,0,8,3620.0,1,1,1,2,1,131811.0,20080412,2,W
11,0,1,0,1,0.0,2,0,7,1,5,14420.0,1,1,1,2,1,14417.5,20110606,2,W
15,0,2,0,2,0.0,3,0,5,1,5,-1,0,0,0,0,0,-1,-1,0,B
15,0,1,0,0,0.0,0,0,12,0,12,3620.0,2,1,1,3,2,3614.3333333333335,-1,18,W
10,0,1,0,0,0.0,0,0,6,0,6,10820.0,1,1,1,4,4,10806.75,20141211,2,W
12,0,1,0,0,0.0,0,0,8,0,8,3620.0,1,1,1,2,2,1999.0,20121111,2,W
9,0,1,0,0,0.0,0,0,6,0,6,-1,0,0,0,4,1,3182.0,-1,0,W
17,0,1,1,0,0.0,0,0,13,0,8,10820.0,1,1,1,6,1,38207.666666666664,19990430,5,W
14,0,1,0,0,0.0,0,0,10,0,10,86420.0,4,1,1,4,1,58039.25,19990920,2,W
12,0,1,0,0,0.0,0,0,8,0,8,80.0,2,1,1,4,1,39414.25,20070427,2,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
15,0,1,0,0,0.0,0,0,12,0,12,1820.0,1,1,1,3,3,3329.0,-1,4,W
12,0,1,0,0,0.0,0,0,8,0,8,552.5,1,1,1,3,1,314.55555555555554,20040523,2,W
12,0,1,0,0,0.0,0,0,8,0,8,30.0,1,1,1,2,9,67785.5,20091001,8,W
11,0,2,0,0,0.0,0,0,5,0,5,-1,0,0,0,2,1,86420.0,-1,0,W
12,0,1,0,0,0.0,0,0,8,0,8,380.0,1,1,1,3,2,3610.0,19970801,2,W
19,0,1,1,0,0.0,0,0,15,0,8,40.0,2,1,1,8,1,44571.625,19951002,11,W
7,0,1,0,0,0.0,0,0,3,0,3,21620.0,1,1,1,2,1,3618.5,-1,2,W
16,0,1,1,0,0.0,0,0,12,0,9,3610.0,1,1,1,2,1,13260.5,-1,2,W
19,0,1,0,0,0.0,0,0,15,0,15,310.0,3,3,1,4,1,905.5,20000302,2,W
8,0,1,0,0,0.0,0,0,4,0,4,620.0,1,1,1,5,1,54790.2,19920825,4,W
8,0,1,0,0,0.0,0,0,5,0,5,320.0,1,1,1,2,1,83933.0,-1,17,W
9,0,1,0,0,0.0,0,0,5,0,5,320.0,1,1,1,4,1,311.0,19970212,2,W
